customer_id,churn_probability,is_churned,frequency,recency,T,monetary_value,expected_purchases,expected_value_per_purchase,value_source,clv,retention_priority_score,segment
12346,0.37360774278640746,True,2.0,322.0,464.0,38662.955,0.8404024671561433,38872.16819398015,gamma_gamma_conditional_expectation,32668.27,12205.12,Low risk / High value
15749,0.22118866741657256,True,1.0,97.0,149.0,21535.9,1.2535608511946983,21775.46183544074,gamma_gamma_conditional_expectation,27296.87,6037.76,Low risk / High value
13687,0.5743089079856872,True,0.0,0.0,255.0,0.0,0.38031578651790554,11880.84,own_observed_transaction (Gamma-Gamma unstable at frequency=0),4518.47,2595.0,High risk / High value
12590,0.22118866741657256,True,0.0,0.0,28.0,0.0,1.247341050555118,9341.26,own_observed_transaction (Gamma-Gamma unstable at frequency=0),11651.74,2577.23,Low risk / High value
12357,0.4871299505233765,False,0.0,0.0,205.0,0.0,0.44872689457073395,11229.99,own_observed_transaction (Gamma-Gamma unstable at frequency=0),5039.2,2454.75,High risk / High value
18102,0.015555194392800332,False,50.0,555.0,555.0,8780.1548,14.70818503449989,8782.227350403733,gamma_gamma_conditional_expectation,129170.62,2009.27,Low risk / High value
18251,0.4115120112895966,False,6.0,272.0,534.0,3113.2100000000005,1.2430335007105924,3120.6093444136677,gamma_gamma_conditional_expectation,3879.02,1596.26,Low risk / High value
12454,0.4138260543346405,False,2.0,26.0,238.0,4098.96,0.8254151058067933,4126.419390605954,gamma_gamma_conditional_expectation,3406.01,1409.5,Low risk / High value
12939,0.17990920096635818,False,12.0,423.0,513.0,1701.36,3.7343222448012594,1703.8244801497167,gamma_gamma_conditional_expectation,6362.63,1144.7,Low risk / High value
14646,0.010793289542198181,False,65.0,546.0,554.0,5499.698153846154,19.06612571433308,5500.764262794658,gamma_gamma_conditional_expectation,104878.26,1131.98,Low risk / High value
12433,0.27304708063602445,False,4.0,110.0,293.0,2710.0275,1.5067174574586892,2720.0789363042313,gamma_gamma_conditional_expectation,4098.39,1119.05,Low risk / High value
13093,0.17990920096635818,True,42.0,460.0,552.0,1284.5280952380951,4.275394224941437,1285.1279378023557,gamma_gamma_conditional_expectation,5494.43,988.5,Low risk / High value
13734,0.5219449400901794,True,2.0,94.0,419.0,3211.02,0.5778226319318109,3233.8101828894246,gamma_gamma_conditional_expectation,1868.57,975.29,High risk / High value
12497,0.47978479862213136,False,1.0,244.0,461.0,3993.64,0.4953490332867611,4047.735596835446,gamma_gamma_conditional_expectation,2005.04,961.99,High risk / High value
12753,0.11275306567549706,False,3.0,114.0,179.0,3116.64,2.4742809176454523,3131.476586270094,gamma_gamma_conditional_expectation,7748.15,873.63,Low risk / High value
12409,0.44074244499206544,False,3.0,145.0,382.0,1848.0466666666669,1.0484466473117515,1858.4437927628094,gamma_gamma_conditional_expectation,1948.48,858.78,Low risk / High value
14088,0.07326689809560775,False,3.0,231.0,238.0,5401.5633333333335,2.10419921263225,5424.396040875964,gamma_gamma_conditional_expectation,11414.01,836.27,Low risk / High value
15769,0.04562543779611587,False,29.0,531.0,545.0,2012.4593103448276,8.718396356426029,2013.5908453779118,gamma_gamma_conditional_expectation,17555.28,800.97,Low risk / High value
14277,0.16482502669095994,False,4.0,514.0,543.0,3514.7925,1.3543703933544113,3526.954304797114,gamma_gamma_conditional_expectation,4776.8,787.34,Low risk / High value
17450,0.019258898124098776,False,13.0,246.0,255.0,5303.473846153846,7.550981381334507,5308.649784103223,gamma_gamma_conditional_expectation,40085.52,772.0,Low risk / High value
15808,0.19324253499507904,True,20.0,432.0,555.0,875.6695,4.308606657287955,876.7155302752145,gamma_gamma_conditional_expectation,3777.42,729.96,Low risk / High value
14156,0.010793289542198181,False,88.0,552.0,555.0,2619.290340909091,25.741251528323083,2619.7352949661595,gamma_gamma_conditional_expectation,67435.27,727.85,Low risk / High value
12931,0.04562543779611587,False,35.0,535.0,555.0,1515.7737142857143,10.293973607672998,1516.5627040606516,gamma_gamma_conditional_expectation,15611.46,712.28,Low risk / High value
18087,0.17990920096635818,False,12.0,448.0,555.0,1126.165,3.4297179474107358,1128.1275717326241,gamma_gamma_conditional_expectation,3869.16,696.1,Low risk / High value
13340,0.20361290574073793,False,4.0,379.0,472.0,2249.1425,1.4971669086905894,2257.9853385361343,gamma_gamma_conditional_expectation,3380.58,688.33,Low risk / High value
17940,0.09305609539151191,False,7.0,518.0,553.0,3350.2114285714283,2.2007737543546497,3356.906884987494,gamma_gamma_conditional_expectation,7387.79,687.48,Low risk / High value
12511,0.5609864950180053,True,0.0,0.0,245.0,0.0,0.39227158447725324,3084.02,own_observed_transaction (Gamma-Gamma unstable at frequency=0),1209.77,678.66,High risk / High value
15332,0.3106977939605713,True,3.0,147.0,330.0,1615.8366666666668,1.3336735263879997,1625.4211706088804,gamma_gamma_conditional_expectation,2167.78,673.52,Low risk / High value
13205,0.6391617059707642,True,0.0,0.0,260.0,0.0,0.3746078478714057,2803.2,own_observed_transaction (Gamma-Gamma unstable at frequency=0),1050.1,671.18,High risk / High value
14439,0.27710674703121185,True,4.0,368.0,504.0,1733.995,1.3843117915225782,1741.4869459734764,gamma_gamma_conditional_expectation,2410.76,668.04,Low risk / High value
17044,0.27710674703121185,False,9.0,358.0,549.0,1113.7044444444446,2.136738946671415,1116.3074666304701,gamma_gamma_conditional_expectation,2385.26,660.97,Low risk / High value
14134,0.2965662062168121,True,10.0,347.0,546.0,1046.219,2.042173742721435,1048.4907706118433,gamma_gamma_conditional_expectation,2141.2,635.01,Low risk / High value
16152,0.43575791716575624,True,0.0,0.0,85.0,0.0,0.7914400340471993,1829.04,own_observed_transaction (Gamma-Gamma unstable at frequency=0),1447.58,630.79,Low risk / High value
14855,0.42152072191238404,False,2.0,136.0,427.0,2125.425,0.6975358517707231,2142.5066118699574,gamma_gamma_conditional_expectation,1494.48,629.95,Low risk / High value
12557,0.19324253499507904,False,5.0,466.0,539.0,1925.432,1.6409793590107669,1931.8238149952074,gamma_gamma_conditional_expectation,3170.08,612.59,Low risk / High value
12477,0.15696212500333787,False,4.0,384.0,440.0,2403.0924999999997,1.6116718027440644,2412.3390479786162,gamma_gamma_conditional_expectation,3887.9,610.25,Low risk / High value
13680,0.23286690413951874,False,9.0,398.0,552.0,1053.7355555555555,2.4709735880767423,1056.2687865755927,gamma_gamma_conditional_expectation,2610.01,607.78,Low risk / High value
16029,0.030810622870922087,False,51.0,545.0,548.0,1297.6276470588234,15.160901439437323,1298.1243010734772,gamma_gamma_conditional_expectation,19680.73,606.38,Low risk / High value
13135,0.2535876214504242,True,1.0,295.0,308.0,3096.0,0.7534936185254177,3140.6052623847168,gamma_gamma_conditional_expectation,2366.43,600.1,Low risk / High value
13437,0.2535876214504242,False,0.0,0.0,7.0,0.0,1.5868044228458593,1440.9,own_observed_transaction (Gamma-Gamma unstable at frequency=0),2286.43,579.81,Low risk / High value
15523,0.2965662062168121,False,13.0,349.0,554.0,1234.6292307692308,1.576663185825037,1236.5280722528155,gamma_gamma_conditional_expectation,1949.59,578.18,Low risk / High value
13344,0.4557848036289215,False,0.0,0.0,94.0,0.0,0.7484262546508726,1656.15,own_observed_transaction (Gamma-Gamma unstable at frequency=0),1239.51,564.95,High risk / High value
14911,0.010793289542198181,False,165.0,555.0,555.0,1079.1551515151516,48.13712405753778,1079.2947877309243,gamma_gamma_conditional_expectation,51954.15,560.76,Low risk / High value
12755,0.19324253499507904,True,9.0,413.0,510.0,1003.0788888888887,2.8772401672092407,1005.5531662098122,gamma_gamma_conditional_expectation,2893.22,559.09,Low risk / High value
15333,0.41965731978416443,True,0.0,0.0,25.0,0.0,1.286558623037214,1028.56,own_observed_transaction (Gamma-Gamma unstable at frequency=0),1323.3,555.33,Low risk / High value
13572,0.30141122341156007,True,0.0,0.0,22.0,0.0,1.328355566004496,1384.25,own_observed_transaction (Gamma-Gamma unstable at frequency=0),1838.78,554.23,Low risk / High value
12435,0.18490920066833497,False,4.0,470.0,554.0,2266.7574999999997,1.3125275862699408,2275.6465310780586,gamma_gamma_conditional_expectation,2986.85,552.3,Low risk / High value
17230,0.19324253499507904,True,13.0,467.0,548.0,740.0576923076923,3.8540640933256767,741.5581999166816,gamma_gamma_conditional_expectation,2858.01,552.29,Low risk / High value
16333,0.04562543779611587,False,7.0,117.0,126.0,1728.24,6.955020457886147,1732.5076919375513,gamma_gamma_conditional_expectation,12049.63,549.77,Low risk / High value
12764,0.5355163812637329,True,0.0,0.0,133.0,0.0,0.6059728710968453,1693.88,own_observed_transaction (Gamma-Gamma unstable at frequency=0),1026.45,549.68,High risk / High value
16772,0.5319321513175964,True,2.0,298.0,538.0,1413.35,0.7009192338554298,1426.687185349305,gamma_gamma_conditional_expectation,999.99,531.93,High risk / High value
14045,0.20361290574073793,False,12.0,363.0,517.0,875.7525,2.944492702833869,877.496564719359,gamma_gamma_conditional_expectation,2583.78,526.09,Low risk / High value
14842,0.2535876214504242,False,1.0,117.0,125.0,1378.48,1.4514882006360479,1404.9267141629161,gamma_gamma_conditional_expectation,2039.23,517.12,Low risk / High value
17084,0.518360710144043,False,0.0,0.0,213.0,0.0,0.43616761792830905,2253.22,own_observed_transaction (Gamma-Gamma unstable at frequency=0),982.78,509.43,High risk / High value
13694,0.010793289542198181,False,68.0,552.0,552.0,2354.9994117647057,20.036312803331352,2355.534586876386,gamma_gamma_conditional_expectation,47196.23,509.4,Low risk / High value
12967,0.30619765222072604,True,2.0,25.0,200.0,1514.65,1.0855173987546836,1528.5198685730415,gamma_gamma_conditional_expectation,1659.23,508.05,Low risk / High value
12501,0.4531506597995758,True,0.0,0.0,153.0,0.0,0.552168924840869,2025.39,own_observed_transaction (Gamma-Gamma unstable at frequency=0),1118.36,506.79,High risk / High value
16698,0.31475060284137724,True,1.0,27.0,70.0,816.0,1.9194447931893441,836.4998720860856,gamma_gamma_conditional_expectation,1605.62,505.37,Low risk / High value
15032,0.12829545736312867,True,6.0,473.0,546.0,2045.875,1.9112292569420564,2051.4100296056295,gamma_gamma_conditional_expectation,3920.71,503.01,Low risk / High value
15786,0.47978479862213136,False,1.0,119.0,353.0,1795.91,0.5715548627115452,1826.7700093700905,gamma_gamma_conditional_expectation,1044.1,500.94,High risk / High value
16532,0.3596030592918396,False,2.0,282.0,437.0,1528.3200000000002,0.8736553867875332,1542.2617518866496,gamma_gamma_conditional_expectation,1347.41,484.53,Low risk / High value
17584,0.4531506597995758,False,3.0,216.0,500.0,1201.6899999999998,0.8802071232877607,1209.825191869912,gamma_gamma_conditional_expectation,1064.9,482.56,High risk / High value
12769,0.4284809172153473,True,0.0,0.0,55.0,0.0,0.9794744156757992,1143.6,own_observed_transaction (Gamma-Gamma unstable at frequency=0),1120.13,479.95,Low risk / High value
15481,0.5609864950180053,True,0.0,0.0,218.0,0.0,0.4286701512326433,1993.34,own_observed_transaction (Gamma-Gamma unstable at frequency=0),854.49,479.36,High risk / High value
17949,0.027106919139623643,False,52.0,548.0,554.0,1151.5961538461538,15.297630709534277,1152.053868770126,gamma_gamma_conditional_expectation,17623.69,477.72,Low risk / High value
16191,0.12013942822813987,False,11.0,466.0,545.0,1161.3254545454545,3.3266041681838585,1163.500084141407,gamma_gamma_conditional_expectation,3870.5,465.0,Low risk / High value
13235,0.3642070949077606,True,0.0,0.0,29.0,0.0,1.2348005832680258,1031.07,own_observed_transaction (Gamma-Gamma unstable at frequency=0),1273.17,463.7,Low risk / High value
12758,0.23286690413951874,False,5.0,462.0,555.0,1245.432,1.5884953186575885,1250.3980091202384,gamma_gamma_conditional_expectation,1986.25,462.53,Low risk / High value
18079,0.37696678638458253,False,1.0,253.0,308.0,1612.83,0.7422283464645287,1641.7543888192688,gamma_gamma_conditional_expectation,1218.56,459.36,Low risk / High value
14426,0.15696212500333787,False,8.0,369.0,462.0,1038.07625,2.8100672197113763,1040.9060444050654,gamma_gamma_conditional_expectation,2925.02,459.12,Low risk / High value
12354,0.4115120112895966,True,0.0,0.0,49.0,0.0,1.0284613855299178,1079.4,own_observed_transaction (Gamma-Gamma unstable at frequency=0),1110.12,456.83,Low risk / High value
16766,0.518360710144043,True,0.0,0.0,90.0,0.0,0.7669476912541688,1145.6,own_observed_transaction (Gamma-Gamma unstable at frequency=0),878.62,455.44,High risk / High value
15497,0.18490920066833497,False,7.0,402.0,538.0,1156.2557142857142,2.1221880907708117,1159.6672609751654,gamma_gamma_conditional_expectation,2461.03,455.07,Low risk / High value
14935,0.4571237683296204,True,1.0,322.0,436.0,1784.71,0.5477403317818987,1815.4515969265183,gamma_gamma_conditional_expectation,994.4,454.56,High risk / High value
12385,0.5867422580718994,True,0.0,0.0,196.0,0.0,0.463753113914243,1668.4,own_observed_transaction (Gamma-Gamma unstable at frequency=0),773.73,453.98,High risk / High value
15480,0.5355163812637329,False,1.0,207.0,493.0,1868.56,0.44461158680357,1900.1881043723693,gamma_gamma_conditional_expectation,844.85,452.43,High risk / High value
13802,0.05633901432156563,False,16.0,407.0,478.0,1524.1243749999999,5.249580517748785,1525.856366986111,gamma_gamma_conditional_expectation,8010.11,451.28,Low risk / High value
16732,0.42311506271362304,False,2.0,328.0,548.0,1495.525,0.7033312134714588,1509.2943002941279,gamma_gamma_conditional_expectation,1061.53,449.15,Low risk / High value
12818,0.4557848036289215,True,0.0,0.0,78.0,0.0,0.8285029730804067,1182.08,own_observed_transaction (Gamma-Gamma unstable at frequency=0),979.36,446.38,High risk / High value
13174,0.18490920066833497,False,8.0,419.0,552.0,1016.59875,2.341981240707808,1019.4004206125668,gamma_gamma_conditional_expectation,2387.42,441.46,Low risk / High value
16398,0.4284809172153473,False,0.0,0.0,70.0,0.0,0.87539114251235,1169.95,own_observed_transaction (Gamma-Gamma unstable at frequency=0),1024.16,438.83,Low risk / High value
17876,0.4284809172153473,True,2.0,276.0,492.0,1323.31,0.7622047131302112,1336.1737125214154,gamma_gamma_conditional_expectation,1018.44,436.38,Low risk / High value
13715,0.17990920096635818,True,15.0,357.0,455.0,509.01733333333334,4.742078847650665,510.15637927785116,gamma_gamma_conditional_expectation,2419.2,435.24,Low risk / High value
12901,0.04562543779611587,False,8.0,86.0,87.0,964.0,9.857701617074158,966.7327949831551,gamma_gamma_conditional_expectation,9529.76,434.8,Low risk / High value
13370,0.5990371108055115,True,0.0,0.0,188.0,0.0,0.4779841048340019,1509.74,own_observed_transaction (Gamma-Gamma unstable at frequency=0),721.63,432.28,High risk / High value
14930,0.3256571114063263,False,3.0,332.0,423.0,1017.0266666666666,1.285206217775922,1024.515626609939,gamma_gamma_conditional_expectation,1316.71,428.8,Low risk / High value
15171,0.588066017627716,True,0.0,0.0,148.0,0.0,0.5646992935114857,1289.5,own_observed_transaction (Gamma-Gamma unstable at frequency=0),728.18,428.22,High risk / High value
14936,0.20361290574073793,False,3.0,308.0,400.0,1551.89,1.344030174062849,1561.2507216847605,gamma_gamma_conditional_expectation,2098.37,427.26,Low risk / High value
13461,0.42259215116500853,False,2.0,190.0,414.0,1189.2,0.8385188327617393,1201.358498828076,gamma_gamma_conditional_expectation,1007.36,425.7,Low risk / High value
18133,0.3699213802814484,True,0.0,0.0,29.0,0.0,1.2348005832680258,931.5,own_observed_transaction (Gamma-Gamma unstable at frequency=0),1150.22,425.49,Low risk / High value
13328,0.5355163812637329,True,0.0,0.0,133.0,0.0,0.6059728710968453,1308.48,own_observed_transaction (Gamma-Gamma unstable at frequency=0),792.9,424.61,High risk / High value
15502,0.20361290574073793,False,4.0,279.0,371.0,1140.6475,1.8177433838850012,1146.58348632149,gamma_gamma_conditional_expectation,2084.19,424.37,Low risk / High value
13934,0.5574022650718689,True,0.0,0.0,80.0,0.0,0.8175612810623328,922.1,own_observed_transaction (Gamma-Gamma unstable at frequency=0),753.87,420.21,High risk / High value
13339,0.3458887755870819,True,0.0,0.0,17.0,0.0,1.40448671681897,860.12,own_observed_transaction (Gamma-Gamma unstable at frequency=0),1208.03,417.84,Low risk / High value
16984,0.36691595911979674,False,6.0,238.0,459.0,742.745,1.5155440872162362,746.0038515024119,gamma_gamma_conditional_expectation,1130.6,414.84,Low risk / High value
12754,0.12013942822813987,True,2.0,73.0,125.0,1482.585,2.282166419574571,1496.286255665153,gamma_gamma_conditional_expectation,3414.77,410.25,Low risk / High value
15978,0.5269871115684509,False,1.0,212.0,461.0,1581.52,0.4818556635771918,1610.113362604247,gamma_gamma_conditional_expectation,775.84,408.86,High risk / High value
13373,0.2619578093290329,False,3.0,457.0,550.0,1504.74,1.0309210428194675,1513.9357195980383,gamma_gamma_conditional_expectation,1560.75,408.85,Low risk / High value
15372,0.4272350072860718,False,4.0,213.0,480.0,894.355,1.0630071882184189,899.6451233279039,gamma_gamma_conditional_expectation,956.33,408.58,Low risk / High value
14411,0.6157037734985351,True,0.0,0.0,127.0,0.0,0.624232772353115,1063.0,own_observed_transaction (Gamma-Gamma unstable at frequency=0),663.56,408.56,High risk / High value
12700,0.3458887755870819,False,0.0,0.0,32.0,0.0,1.1986642714302873,984.43,own_observed_transaction (Gamma-Gamma unstable at frequency=0),1180.0,408.15,Low risk / High value
16216,0.5574022650718689,True,0.0,0.0,84.0,0.0,0.7965288790177549,914.93,own_observed_transaction (Gamma-Gamma unstable at frequency=0),728.77,406.22,High risk / High value
14299,0.20361290574073793,False,19.0,419.0,554.0,528.8257894736843,3.712084995570825,529.7358172571466,gamma_gamma_conditional_expectation,1966.42,400.39,Low risk / High value
16107,0.4284809172153473,False,0.0,0.0,0.0,0.0,1.7459591651198856,532.9,own_observed_transaction (Gamma-Gamma unstable at frequency=0),930.42,398.67,Low risk / High value
12451,0.11275306567549706,False,3.0,311.0,346.0,2263.6366666666668,1.5496388924717828,2275.488155800367,gamma_gamma_conditional_expectation,3526.18,397.59,Low risk / High value
13329,0.2965662062168121,False,4.0,369.0,552.0,1073.38,1.2417817030513059,1079.1395879783774,gamma_gamma_conditional_expectation,1340.06,397.42,Low risk / High value
14921,0.31679787039756774,False,0.0,0.0,18.0,0.0,1.3885611299365885,903.01,own_observed_transaction (Gamma-Gamma unstable at frequency=0),1253.88,397.23,Low risk / High value
12744,0.12653813362121583,False,3.0,343.0,408.0,2318.8766666666666,1.338719991239051,2330.9214689556275,gamma_gamma_conditional_expectation,3120.45,394.86,Low risk / High value
13941,0.17990920096635818,False,10.0,426.0,540.0,734.72,2.9583219710026154,736.665541226202,gamma_gamma_conditional_expectation,2179.29,392.07,Low risk / High value
16993,0.6260984539985657,True,1.0,113.0,393.0,1231.15,0.4984596373033194,1256.0390619029613,gamma_gamma_conditional_expectation,626.08,391.99,High risk / High value
15077,0.6073200702667236,True,1.0,236.0,547.0,1554.6,0.4069882068756282,1582.9087498380893,gamma_gamma_conditional_expectation,644.23,391.25,High risk / High value
12739,0.6157037734985351,False,0.0,0.0,211.0,0.0,0.43924082417396304,1445.69,own_observed_transaction (Gamma-Gamma unstable at frequency=0),635.01,390.98,High risk / High value
16546,0.19527957141399382,True,3.0,152.0,259.0,1087.2566666666664,1.822857919273975,1094.991397480575,gamma_gamma_conditional_expectation,1996.01,389.78,Low risk / High value
12517,0.31679787039756774,False,0.0,0.0,7.0,0.0,1.5868044228458593,766.95,own_observed_transaction (Gamma-Gamma unstable at frequency=0),1217.0,385.54,Low risk / High value
13505,0.2108182966709137,False,1.0,40.0,49.0,746.4,2.359553985331219,766.164023329601,gamma_gamma_conditional_expectation,1807.81,381.12,Low risk / High value
17088,0.4284809172153473,False,0.0,0.0,70.0,0.0,0.87539114251235,1015.83,own_observed_transaction (Gamma-Gamma unstable at frequency=0),889.25,381.03,Low risk / High value
12669,0.4284809172153473,False,0.0,0.0,73.0,0.0,0.8571940464203481,1028.3,own_observed_transaction (Gamma-Gamma unstable at frequency=0),881.45,377.68,Low risk / High value
17203,0.4168778657913208,False,0.0,0.0,205.0,0.0,0.44872689457073395,2012.03,own_observed_transaction (Gamma-Gamma unstable at frequency=0),902.85,376.38,Low risk / High value
15151,0.565748393535614,True,1.0,86.0,326.0,1116.26,0.5808233248705416,1139.9343828277815,gamma_gamma_conditional_expectation,662.1,374.58,High risk / High value
13501,0.3268102675676346,True,2.0,282.0,387.0,1144.97,0.9905082271597175,1156.8959166070904,gamma_gamma_conditional_expectation,1145.91,374.5,Low risk / High value
16120,0.5355163812637329,False,0.0,0.0,239.0,0.0,0.39981399447275634,1747.77,own_observed_transaction (Gamma-Gamma unstable at frequency=0),698.78,374.21,High risk / High value
15736,0.5355163812637329,True,0.0,0.0,252.0,0.0,0.3838250670037932,1815.72,own_observed_transaction (Gamma-Gamma unstable at frequency=0),696.92,373.21,High risk / High value
17511,0.010793289542198181,False,36.0,531.0,554.0,3255.0813888888893,10.582562860668475,3256.3540616186046,gamma_gamma_conditional_expectation,34460.57,371.94,Low risk / High value
14564,0.5319321513175964,True,1.0,301.0,552.0,1616.44,0.4242101886632187,1645.4025556872418,gamma_gamma_conditional_expectation,698.0,371.29,High risk / High value
14352,0.34859763979911806,False,1.0,39.0,90.0,614.02,1.676073460829472,632.3844305367357,gamma_gamma_conditional_expectation,1059.92,369.49,Low risk / High value
16636,0.4531506597995758,True,3.0,208.0,463.0,830.1966666666667,0.9733774219998292,837.0318124028914,gamma_gamma_conditional_expectation,814.75,369.2,High risk / High value
15649,0.4284809172153473,True,3.0,51.0,204.0,544.0,1.562199875938147,549.8335964846251,gamma_gamma_conditional_expectation,858.95,368.04,Low risk / High value
17828,0.31679787039756774,False,0.0,0.0,1.0,0.0,1.7212648985404786,673.16,own_observed_transaction (Gamma-Gamma unstable at frequency=0),1158.69,367.07,Low risk / High value
14145,0.23286690413951874,False,3.0,393.0,427.0,1200.95,1.3012476517342981,1209.0826022295266,gamma_gamma_conditional_expectation,1573.32,366.37,Low risk / High value
12473,0.38964034914970397,False,0.0,0.0,8.0,0.0,1.5664383487545646,600.19,own_observed_transaction (Gamma-Gamma unstable at frequency=0),940.16,366.32,Low risk / High value
17354,0.5319321513175964,False,0.0,0.0,245.0,0.0,0.39227158447725324,1750.4,own_observed_transaction (Gamma-Gamma unstable at frequency=0),686.63,365.24,High risk / High value
14918,0.36691595911979674,False,5.0,206.0,427.0,698.062,1.415929832301546,701.8802982940889,gamma_gamma_conditional_expectation,993.81,364.64,Low risk / High value
12652,0.5609864950180053,True,1.0,103.0,251.0,793.98,0.7965631047254446,814.2470647639909,gamma_gamma_conditional_expectation,648.6,363.86,High risk / High value
14899,0.5990371108055115,True,0.0,0.0,212.0,0.0,0.43769880727370053,1384.88,own_observed_transaction (Gamma-Gamma unstable at frequency=0),606.16,363.11,High risk / High value
15950,0.2231906145811081,False,6.0,323.0,499.0,881.2266666666666,1.8362789446314134,884.7274041953104,gamma_gamma_conditional_expectation,1624.61,362.6,Low risk / High value
13122,0.4138260543346405,False,0.0,0.0,57.0,0.0,0.9641754835206932,903.67,own_observed_transaction (Gamma-Gamma unstable at frequency=0),871.3,360.57,Low risk / High value
18074,0.5574022650718689,True,1.0,132.0,322.0,979.2,0.6453759334779772,1001.4253105495666,gamma_gamma_conditional_expectation,646.3,360.25,High risk / High value
12625,0.2108182966709137,True,3.0,385.0,413.0,1266.3966666666665,1.3404898625888928,1274.758300424698,gamma_gamma_conditional_expectation,1708.8,360.25,Low risk / High value
14407,0.31679787039756774,False,1.0,71.0,93.0,645.5,1.7117328844461537,664.1972540834906,gamma_gamma_conditional_expectation,1136.93,360.18,Low risk / High value
14566,0.4531506597995758,False,2.0,116.0,350.0,907.5,0.8647526401978969,918.1771872374886,gamma_gamma_conditional_expectation,794.0,359.8,High risk / High value
14249,0.3091788232326508,True,7.0,269.0,496.0,756.7871428571428,1.5295805587910623,759.6007655690727,gamma_gamma_conditional_expectation,1161.87,359.23,Low risk / High value
12578,0.2676178812980652,False,2.0,113.0,260.0,1068.3700000000001,1.2422656742181037,1079.8931176442259,gamma_gamma_conditional_expectation,1341.51,359.01,Low risk / High value
12798,0.5833041191101074,False,0.0,0.0,238.0,0.0,0.40109944258974356,1533.89,own_observed_transaction (Gamma-Gamma unstable at frequency=0),615.24,358.87,High risk / High value
